Thumb,Index,Middle,Ring,Pinky,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Letter
0,0,0,0,0,-3.10,-7.78,-4.10,-0.10,0.02,-0.00,A
0,0,0,0,0,-3.11,-7.75,-4.17,-0.10,0.02,-0.01,A
0,0,0,0,0,-3.19,-7.81,-4.17,-0.11,0.01,-0.01,A
0,0,0,0,0,-3.62,-8.17,-4.57,-0.39,0.05,-0.01,A
0,0,0,0,0,-3.27,-6.95,-5.51,-0.56,0.22,0.08,A
0,0,0,0,0,-3.14,-7.43,-5.51,-0.41,0.33,-0.01,A
0,0,0,0,0,-2.54,-6.42,-5.53,-0.29,0.29,-0.02,A
0,0,0,0,0,-2.74,-6.69,-5.75,-0.33,0.22,0.02,A
0,0,0,0,0,-2.16,-6.22,-6.45,0.19,0.21,-0.30,A
0,0,0,0,0,-1.04,-7.61,-5.23,1.93,0.03,-1.37,A
0,0,0,0,0,0.12,-8.55,-2.80,2.54,0.20,-1.70,A
0,0,0,0,0,1.97,-10.06,0.62,2.85,0.11,-1.69,A
7,0,0,0,0,3.67,-9.97,2.76,2.49,-0.08,-1.61,A
309,0,0,0,0,5.08,-9.25,5.21,0.94,-0.46,-1.02,A
235,0,5,0,0,4.52,-7.54,4.61,-0.61,-0.51,-0.47,A
0,1763,1147,377,871,4.83,-6.35,2.13,-0.89,-0.06,0.10,A
261,2521,2150,1057,1962,5.52,-8.55,1.26,-0.28,0.38,-0.01,A
466,2871,2695,1367,2162,5.02,-8.49,2.27,-0.68,0.24,0.15,A
950,3175,2902,1798,2253,5.37,-7.81,2.20,0.04,-0.18,-0.01,A
0,1381,550,11,236,4.88,-8.65,3.48,0.87,-0.50,-0.26,A
102,0,0,0,0,5.97,-8.17,3.76,0.37,-0.15,-0.15,A
363,0,0,0,0,5.58,-7.89,3.19,-0.33,0.01,0.05,A
379,0,0,0,0,5.81,-7.98,3.38,-0.27,0.10,0.09,A
390,0,0,0,0,5.41,-7.99,2.85,-0.00,0.04,-0.04,A
0,0,0,0,0,5.54,-7.88,2.96,0.14,0.15,-0.37,A
0,0,0,0,0,5.81,-7.88,3.33,0.22,0.19,-0.24,A
0,0,0,0,0,6.00,-7.39,3.87,-0.04,0.00,-0.11,A
0,0,0,0,0,5.80,-7.79,3.53,-0.37,-0.00,0.01,A
0,0,0,0,0,5.84,-8.00,3.75,0.50,-0.23,-0.08,A
0,431,0,0,0,5.42,-7.07,2.90,-0.67,0.12,0.09,A
0,0,0,0,0,5.56,-8.16,3.22,-0.34,0.00,0.10,A
0,379,0,0,0,5.73,-7.61,3.55,-0.23,-0.01,0.25,A
0,819,0,0,0,5.65,-8.48,3.15,-0.13,-0.05,0.12,A
0,0,0,0,0,5.89,-7.94,3.64,-0.16,-0.25,0.13,A
0,0,0,0,0,5.64,-8.63,3.34,-0.13,-0.50,0.23,A
0,0,0,0,0,5.11,-8.71,2.26,0.25,-0.47,0.02,A
0,0,0,0,0,5.43,-8.39,2.39,-0.01,-0.16,-0.00,A
0,0,0,0,0,5.58,-8.35,2.49,0.05,-0.16,-0.06,A
0,0,0,0,0,5.41,-8.54,2.21,-0.03,-0.05,-0.03,A
0,0,0,0,0,5.66,-8.38,2.67,-0.08,0.05,-0.05,A
0,0,0,0,0,5.62,-8.14,2.57,-0.04,0.01,0.03,A
0,0,0,0,0,5.55,-8.43,2.78,-0.08,-0.04,-0.07,A
0,0,0,0,0,5.58,-8.08,2.63,-0.06,0.03,-0.02,A
0,0,0,0,0,5.75,-8.21,2.76,-0.07,-0.00,-0.03,A
0,0,0,0,0,5.69,-8.05,2.94,0.05,0.02,-0.05,A
0,0,0,0,0,6.04,-7.70,3.31,0.05,-0.03,0.00,A
0,0,0,0,0,6.00,-7.69,3.40,-0.12,0.10,-0.08,A
0,0,0,0,0,5.39,-8.83,2.77,-0.26,-0.05,0.14,A
0,0,0,0,0,6.15,-7.41,3.61,0.05,0.05,-0.09,A
0,0,0,0,0,5.50,-8.55,2.92,-0.06,0.09,-0.00,A
0,0,0,0,0,5.77,-7.98,3.34,-0.15,0.13,-0.07,A
0,0,0,0,0,5.68,-8.11,3.22,-0.11,-0.00,-0.00,A
0,0,0,0,0,5.67,-8.07,2.92,-0.22,0.02,0.03,A
0,0,0,0,0,5.70,-8.10,3.07,-0.09,0.05,0.02,A
0,0,0,0,0,5.78,-8.05,2.93,-0.07,-0.00,0.03,A
0,0,0,0,0,5.55,-8.20,3.01,-0.12,0.06,0.07,A
0,0,0,0,0,5.38,-8.20,3.05,-0.05,0.08,0.03,A
0,0,0,0,0,5.51,-8.35,3.25,-0.04,0.08,0.03,A
0,0,0,0,0,5.49,-8.23,3.27,-0.05,0.05,0.01,A
0,0,0,0,0,5.38,-8.31,3.36,-0.07,0.02,0.02,A
0,0,0,0,0,5.21,-8.20,3.30,-0.07,0.03,0.03,A
0,0,0,0,0,5.28,-8.41,3.31,-0.14,0.03,-0.03,A
